La 1 HD,La 1 720
Canal ESPN 5 (Sudamérica),Espn 5 Sur.ms
Canal ESPN 7 (Sudamérica),Espn 7 Sur.ms
ESPN Premium,ESPN Premium.ms
ESPN Deportes,Espn Deportes.ms
Fox Deportes,Fox Deportes.ms
Fox Sports 2 Sur,Fox Sports 2 Sur.ms
Fox Sports 3 Sur,Fox Sports 3 Sur.ms
TUDN,TUDN MX.ms
TUDN USA,TUDN USA.ms
I693.75951.schedulesdirect.org,TUDN MX
Canal.TUDN.(México).mx,Canal.TUDN.(México).mx
Canal.TUDN.(Centroamérica).sv,TUDN.(Centroamérica).sv
Win.Sports.HD.(COL)(WINHD).co,Win.Sports.HD.(COL)(WINHD).co
Win.Sports.Premium.HD(Win+HD).co,Win.Sports.Premium.HD(Win+HD).co
Canal.TyC.Sports.ar,Canal.TyC.Sports.ar
Mi TV Television Clasica,Mi TV Television Clasica.ms
RetroX TV,RetroX TV.ms
TeleRed,Telered.ms
Telesistema,Telesistema.ms
Tv Retro Palmares,Tv Retro Palmares.ms
Voice Over Radio TV,Voice Over TV.ms
Norte Informativo TV,Norte Informativo.ms
Teleclasica,Teleclasica.ms
Bein Sport en Espanol,Bein Sport en Espanol.ms
Cine Sony,Sony Cine.ms
Universo,NBC Universo.ms
Canal.2.de.Panamá.(TVN-2).pa,TVN Panamá.pa
Canal.4.de.Panamá.(RPC.TV).pa,RPC Panamá.pa
Canal.9.de.Panamá.(TVMax).pa,TV Max Panamá.pa
Canal.13.de.Panamá.(Telemetro).pa,Telemetro.pa
AMERICA.TELEVISION.HD.(America.HD).pe,America Perú.pe
PANAMERICANA.TELEVISION.HD.(Panamericana.HD).pe,Panamericana.pe
ATV.HD.(ATV.HD).pe,ATV Perú.pe
GOL.PERU.HD.(GOL.PERU.HD).pe,Gol Perú.pe
LATINA.HD.(Latina.HD).pe,Latina Perú.pe
M.DEPORTES.HD.(M.Deportes.HD).pe,Movis. Deportes Perú.pe
FOX.SPORTS.HD.(FoxSportsHD).pe,FOX.SPORTS.HD.(FoxSportsHD).pe
FOX.SPORTS.2.HD.(FoxSports2HD).peFOX.SPORTS.2.HD.(FoxSports2HD).pe
FOX.SPORTS.3.HD.(FoxSports3HD).peFOX.SPORTS.3.HD.(FoxSports3HD).pe
GOLPERU.HD.(GOLPERU.HD).pe,GOLPERU.HD.(GOLPERU.HD).pe
WILLAX.(Willax).pe,WILLAX.(Willax).pe
Caracol.co,Caracol.co
Canal.Caracol.Internacional.ec,Caracol Internacional.ec
RCN.co,RCN.co
RCN.HDTV.2.(RCNHD2).co,RCN HD 2.co
RCN.Novelas.co,RCN.Novelas.co
NUESTRA.TELE.co,NUESTRA.TELE.co
PASIONES.co,PASIONES.co
TNT.Novelas.co,TNT.Novelas.co
DSPORTS.(ARG).dtvsp,Dsports
DSPORTS.2.(DTS2).co,Dsports 2
DSPORTS.+(DTS+).co,Dsports +
ESPN.co,ESPN.co
ESPN.2.co,ESPN.2.co
ESPN.3.co,ESPN.3.co
ESPN.4.co,ESPN.4.co
ESPN.5.co,ESPN.5.co
ESPN.6.HD.co,ESPN.6.HD.co
ESPN.7.HD.co,ESPN.7.HD.co
Canal.ESPN.(Chile).cl,Canal.ESPN.(Chile).cl
Canal.ESPN.(Argentina).ar,Canal.ESPN.(Argentina).ar
Canal.13.de.Chile.cl.Canal.13.de.Chile.cl
Canal.Chilevisión.(CHV).cl,Canal.Chilevisión.(CHV).cl
Canal.CNN.Chile.cl,Canal.CNN.Chile.cl
Canal.Inti.Network.cl,Canal.Inti.Network.cl
Canal.Inti.Network.ec,Canal.Inti.Network.ec
Canal.La.Red.(Chile).cl,Canal.La.Red.(Chile).cl
Canal.Mega.(Chile).cl,Canal.Mega.(Chile).cl
Canal.TVN.(Chile).cl,Canal.TVN.(Chile).cl
Canal.Vía.X.cl,Canal.Vía.X.cl
Canal.Zona.Latina.cl,Canal.Zona.Latina.cl
TV.Chile.cl,TV.Chile.cl
Canal.Ecuador.TV.ec,Canal.Ecuador.TV.ec
Canal.Ecuavisa.(Ecuador).ec,Canal.Ecuavisa.(Ecuador).ec
Canal.Gamavisión.ec,Canal.Gamavisión.ec
Canal.GolTV.Latinoamérica.ec,Canal.GolTV.Latinoamérica.ec
Canal.RTS.ec,Canal.RTS.ec
Canal.TC.Televisión.ec,Canal.TC.Televisión.ec
Canal.Ve.Plus.(Latinoamérica).ec,Canal.Ve.Plus.(Latinoamérica).ec
Canal.Cinema.Platino.mx,Canal.Cinema.Platino.mx
Canal.Fox.Sports.(México).mx,Canal.Fox.Sports.(México).mx
Canal.Fox.Sports.2.(México).mx,Canal.Fox.Sports.2.(México).mx
Canal.Fox.Sports.3.(México).mx,Canal.Fox.Sports.3.(México).mx
Canal.María.Visión.mx,Canal.María.Visión.mx
Canal.Meganoticias.MX.mx,Canal.Meganoticias.MX.mx
Canal.Telehit.mx,Canal.Telehit.mx
Canal.5.de.México.(XHGC).mx,Canal 5 MX.mx
Sky Sports 1,Sky Sports 1.ms
Canal.Sky.Sports.16.sv,Canal.Sky.Sports.16.sv
Canal.Sky.Sports.24.sv,Canal.Sky.Sports.24.sv
Canal.3.de.Guatemala.sv,Canal.3.de.Guatemala.sv
Canal.7.de.Guatemala.sv,Canal.7.de.Guatemala.sv
Canal.11.de.Guatemala.svCanal.11.de.Guatemala.sv
Canal.Antigua.(Guatemala).sv,Canal.Antigua.(Guatemala).sv
Canal.2.de.El.Salvador.sv,Canal.2.de.El.Salvador.sv
Canal.4.de.El.Salvador.sv,Canal.4.de.El.Salvador.sv
Canal.6.de.El.Salvador.sv,Canal.6.de.El.Salvador.sv
Canal.12.de.El.Salvador.sv,Canal.12.de.El.Salvador.sv
Canal.MC.sv,Canal.MC.sv
Canal.13.de.Guatemala.sv,Canal.13.de.Guatemala.sv
Canal.Guatevisión.sv,Canal.Guatevisión.sv
Canal.La.Red.TV.(Guatemala).sv,Canal.La.Red.TV.(Guatemala).sv
Canal.2.de.Nicaragua.(Televicentro).sv,Canal.2.de.Nicaragua.(Televicentro).sv
Canal.13.de.Nicaragua.(Viva.Nicaragua).sv,Canal.13.de.Nicaragua.sv
